Rating,Review_title,Review_comment,Hotel_site,Sentiment_score,Sentiment,Review,Topic,Topic_Label
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
3,Good,good,Addis Ababa,0.4404,Neutral,Good good,2,Reception and Check-In Experience
3,Pleasant,pleasant,Addis Ababa,0.5106,Neutral,Pleasant pleasant,0,Room Quality and Comfort
3,Pleasant,pleasant,Addis Ababa,0.5106,Neutral,Pleasant pleasant,0,Room Quality and Comfort
0,Bad,bad,Addis Ababa,-0.5423,Negative,Bad bad,5,Service Efficiency and Professionalism
3,Good,good,Addis Ababa,0.4404,Neutral,Good good,2,Reception and Check-In Experience
1,Very poor,poor,Addis Ababa,-0.4767,Negative,Very poor poor,0,Room Quality and Comfort
3,Good,let smoke outside parking far street even though ashtray,Addis Ababa,0,Neutral,Good let smoke outside parking far street even though ashtray,2,Reception and Check-In Experience
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Addis Ababa,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
2,Passable,passable,Addis Ababa,0,Negative,Passable passable,0,Room Quality and Comfort
5,Exceptional,staff haile grand amazing thanking hospitality professionalism special acknowledgment go mesfin beza bitania helina yidenek,Addis Ababa,0.8591,Positive,Exceptional staff haile grand amazing thanking hospitality professionalism special acknowledgment go mesfin beza bitania helina yidenek,0,Room Quality and Comfort
5,Exceptional,staff friendly fluent english,Addis Ababa,0.4939,Positive,Exceptional staff friendly fluent english,1,Staff Helpfulness and Service
5,Exceptional,haile grand truly grand establishment highly recommend booking stay next trip addis ababa staff friendly helpful food delicious atmosphere relaxing,Addis Ababa,0.9738,Positive,Exceptional haile grand truly grand establishment highly recommend booking stay next trip addis ababa staff friendly helpful food delicious atmosphere relaxing,1,Staff Helpfulness and Service
5,Really great place to stay,great staff great environment food breakfast really good,Addis Ababa,0.908,Positive,Really great place to stay great staff great environment food breakfast really good,5,Service Efficiency and Professionalism
5,Exceptional,around grand,Addis Ababa,0.4588,Positive,Exceptional around grand,1,Staff Helpfulness and Service
5,Exceptional,property cleanest property stayed addis ababa hotel staff always ready assure comfort room comfortable stuffy carpet crisp white linen freshness unbelievably clean hotel addis strongly recommend day,Addis Ababa,0.9459,Positive,Exceptional property cleanest property stayed addis ababa hotel staff always ready assure comfort room comfortable stuffy carpet crisp white linen freshness unbelievably clean hotel addis strongly recommend day,1,Staff Helpfulness and Service
5,Exceptional,simple tasteful decor ambience excellent helpful staff wonderful amenity,Addis Ababa,0.8807,Positive,Exceptional simple tasteful decor ambience excellent helpful staff wonderful amenity,1,Staff Helpfulness and Service
5,Exceptional,beautiful hotel friendly efficient staff,Addis Ababa,0.872,Positive,Exceptional beautiful hotel friendly efficient staff,1,Staff Helpfulness and Service
5,Exceptional,staff super kind helpful lovely spot stay,Addis Ababa,0.9313,Positive,Exceptional staff super kind helpful lovely spot stay,5,Service Efficiency and Professionalism
5,Exceptional,stay perfect,Addis Ababa,0.5719,Positive,Exceptional stay perfect,1,Staff Helpfulness and Service
5,Exceptional,staff staff helpful info addis ababa musuems eat thing see return hotel stay first class hotel,Addis Ababa,0.4215,Positive,Exceptional staff staff helpful info addis ababa musuems eat thing see return hotel stay first class hotel,1,Staff Helpfulness and Service
5,Exceptional,staff super friendly helpful location good great view across addis,Addis Ababa,0.9509,Positive,Exceptional staff super friendly helpful location good great view across addis,5,Service Efficiency and Professionalism
